model,description
fiesta,"PURPLE, 5 seats, Past M.O.T History Print Out, 2 Previous Owners, 5dr Hatchback, AUTOMATIC Gearbox, Metallic Blue Paintwork With Contrasting Grey Patterned Cloth Trim, Power Assisted Steering, Sunroof, Factory Fitted Engine Immobiliser, Drivers Air Bag, Original Ford Radio/Tape Player, MOT has just Expired, Starts & Drives, SOLD AS SPARES OR REPAIRS, BASED IN COVENTRY CV6, NO OFFERS, NO LAST PRICE, £150"
golf,"Electric Roof. Slash in the roof hence the price. RARE., GREEN, 4 owners, Next MOT due 17/12/2015, Part service history, Electric windows, Air conditioning, Leather trim, Height adjustable passenger seat, Sports seats, Metallic paint, 16"" Alloy Wheels, Power steering. 4 seats, £450"
polo,"BLACK, 5 seats, £390"
polo,"BLUE, Mot till JUNE 2015, Electric Windows. 5 seats, WE ARE OPEN 7 DAYS A WEEK FROM 10AM TO 7PM,FOR MORE CARS VISIT OUR WEB WWW.ASERMOTORS.CO.UK, £590 p/x welcome"
polo,"Metallic Blue, 2 keys well maintained in excellent condition cheap insurance etc no mechanical faults 1st to see will buy, Grey Cloth interior, CD Player, Central locking, Power steering, Electric door mirrors, Immobiliser, Height adjustable drivers seat, Folding rear seats, Airbags, 3x3 point rear seat belts, Colour coded mirrors etc. 5 seats, Ideal 1st car, £590 ovno"
500,"YELLOW, WE HAVE A GREAT CONDITION CAR, SPOTLESS BODY WORK, DRIVES LIKE NEW, 3 MONTH WARRANTY INCLUDED  GENUINE LOW MILEAGE, FULLY HPI CHECKED, MOT FEB 2016, 2 OWNERS,, Electric Windows, In Car Entertainment. 4 seats, FULL SERVICE HISTORY, ALL OLD MOT HISTORY, FULLY INSPECTED, YOU WILL SEE IT AND BUY IT !!!!, WARRANTY PACKAGES AVAILABLE.  VIEWING MUST BE ARRANGED, CALL US. PX WELCOME. WE ALSO BUY CARS 4 CASH, £4,495 p/x welcome"
500,"Metallic Pale Baby Blue, Next MOT due 29/12/2015, Full service history, Electric Windows, In Car Entertainment, Alloy wheels, Electric windows, Height adjustable drivers seat, Immobiliser, Power steering, Electric door mirrors, CD Player, Airbags, Remote central locking, Dual zone climate control, Alarm. 4 seats, In lovely condition,over 80 cars and vans available in our showroom in Plympton,Plymouth,cars sold throughout Devon and Cornwall,Your local independent car supermarket,to arrange a viewing please call or text Stu on 07737548961.We also buy cars,phone for an instant price today., £4,499"
golf,"Volkswagen Golf 1.4 CL 3dr,1994 (M)Reg, SILVER, 3 owners, Next MOT due 16/05/2016, Full service history, MP3 player, CD player, 15"" Alloy Wheels, Spare wheel (Full), Alarm. £500"
500,"Genuine reason for sale - purchased another car without trade-in., , An excellent runner with full service history., , One issue - driver side mirror has been knocked off by unruly youths (although I can think of a better word for them!!!)  See photos for details of damage & Autotrader's valuation.  The asking price is with this damage in mind., SILVER, 2 owners, Next MOT due 30/09/2015, Full service history, Electric windows, Air conditioning, CD player, Leather trim, Folding rear seats, Power steering, Central locking, Alarm, Driver's airbags. 4 seats, £3,995"
corsa,"SILVER, MOT 14/09/2015, Part Exchange to Clear, Ideal First Car, No Warranty, Sold As Seen, Adjustable Steering Column/Wheel - Rake, Air Bag Driver, Alloy Wheels - 15in, Body Coloured Bumpers, Central Door Locking - Remote, Centre Rear Seat Belt, Deadlocks, Electric Windows - Front, Front Fog Lights, Head Restraints - Front/Rear, Immobiliser, In Car Entertainment - Radio/Cassette, Mirrors External - Electric/Heated, Power-Assisted Steering, Seat Height Adjustment - Driver, Seating Capacity - Five Seats, Side Protection Mouldings, Spare Wheel - Steel, Speakers - Six, Steering Wheel Mounted Controls - Audio, Upholstery Cloth. 5 seats, This vehicle is part exchange to clear. No warranty supplied. We do not check these cars. Sold as seen. We cannot supply finance on this vehicle. We can arrange FREE delivery within 5 miles of our showroom. Please phone us on 01223 874 400 to ensure the car is still in stock before you come down. Located at our Foxton showroom: 27 Royston Road, Foxton, Cambridgeshire, CB22 6SE REF:F45U, All Finance Applications Accepted, £490"
astra,"BLUE, Drives fine. Mot till september. HPI clear, Next MOT due 09/09/2015, Service history, Air-Conditioning, Electric Windows, In Car Entertainment. 5 seats, Debit/credit cards accepted. Any test drive more than welcome. PLEASE PHONE FOR AN APPOINTMENT, £390"
500,"WHITE, 2 owners, Full service history, Electric windows, CD player, Folding rear seats, Power steering, Central locking, Alarm, Driver's airbags. 4 seats, £4,310"
fiesta,"RED, MOT 16/12/2015,Service History,Full MOT History., Sunroof Manual, Electric Windows, Air conditioning. This car drives very well.Air Conditioning (Cold)., £400"
focus,"BLUE, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, £290"
500,"The car has been professionally repaired after a small accident, any inspection is more than welcome., WHITE, 2 owners, Next MOT due 14/04/2016, Full service history, 4 seats, £4,500"
corsa,"GREEN, DRIVE AWAY INSURANCE AVAILABLE, OVER 500 CHEAP PX CARS IN STOCK FROM £299-£29,990, Next MOT due 17/07/2015, Sunroof Manual, Computer, In Car Entertainment. 5 seats, L.S.C PX SITE - OLD LIVERPOOL RD WA5 1BU, 01925633701, WWW.TRADECENTREWARRINGTON.CO.UK, £490"
500,"Bossa Nova White, ANTI-LOCK BRAKES, BODY COLOURED BUMPERS, Cloth interior, DRIVER AIR BAG KNEE, DRIVER PASSENGER AND FRONT SIDE AIR BAGS, DRIVER SEAT HEIGHT ADJUSTMENT, ELECTRIC DOOR MIRRORS, ELECTRONIC BRAKE FORCE DISTRIBUTION, FRONT ELECTRIC WINDOWS, FRONT HEAD RESTRAINTS, IMMOBILISER, POWER-ASSISTED STEERING, RADIO/CD/MP3, REMOTE CENTRAL DOOR LOCKING, SEAT - ISOFIX ANCHORAGE POINT, SIX SPEAKERS, SPACESAVER SPARE WHEEL. 4 seats, CALL US TODAY FOR GENUINE HONEST ADVICE ON HOW TO FUND AND PROTECT YOUR NEW CAR, £4,449 Non VAT Qualifying"
focus,"BLUE, Full service history, last done at 110k. 2 owners from new with 2 keys. Will come with 6 months nationwide warranty., 5 seats, Very practical & comfortable car to drive. Fantastic safety features on these which include side impact bars, isofix and front & rear curtain airbags. Nice spec. Has A/C, Electric front windows & mirrors & upgraded stereo with steering wheel controls. Original Ford roof rack. Clean bodywork for the age and miles and a great little diesel hatch for your money., *Up To 3 Years Warranty, Delivery Service, AA Cover & Part Exchange Service Available. Please Call*, £200"
fiesta,"RED, ++ 7 MONTHS MOT ++ ONLY 1 PREVIOUS OWNER ++, Air-Conditioning, Electric Windows, Heated Front Screen, In Car Entertainment. LOOKS AND DRIVES WELL FOR AGE, WAS PREVIOUSLY CAT C ACCIDENT DAMAGED REPAIRED BACK IN 2007,  PRICED TO SELL..., Open 7 days a week, Monday-Thursday 9 til 7, Friday 9 til 6, Saturday 9 til 5 and Sunday 11 til 4, £290 p/x considered"
golf,"RED, power steering, electric windows, sunroof, central locking,, just taken in p/x, same lady owner for the last nine years!!  mot until october, a very reliable little car, ok so its a bit rough around the edges but imaculate inside, drives really well but lets face it its a golf! nothing special but a good cheep runabout for someone, any inspection welcomed, tel Andrew for more details, Anytime., £395"
polo,"vw polo 1.4 saloon rare model, met blue, electric windows, pas, all as standard, drives perfect , 12months mot just been serviced , any inspection welcome, BLUE, Next MOT due 26/05/2016, Electric windows, Metallic paint, Spare wheel (Full), Power steering, Steering wheel reach adjustment, Central locking, Alarm, Immobiliser, Driver's airbags. 5 seats, £660"
500,"WHITE, 1 lady owner from new moted till march 2016 service history only £30 pound a year road tax, Cloth interior, Electric Front Windows, Radio/CD/MP3 Player, 3x3 point rear seat belts, Alarm, Central locking, Height adjustable drivers seat, Lumbar support, Power steering, Radio, CD Player, Airbags, Remote central locking, Folding rear seats, Electric door mirrors. 4 seats, hpi clear 2 keys excellent condition p/x welcome., £4,390 p/x welcome"
focus,"BLUE, : BIG SALE: WAS £741, NOW £350 MOT SEPT 2015, CAR IS SOLD FOR SPARES & REPAIRS ONLY! PX TO CLEAR, HPI CLEAR, Air-Conditioning, Alloy Wheels, Computer, Electric Windows, Heated Front Screen. 5 seats, Finance Available, Warranty Offered, 5 Days Drive Away Cover (Subject to Application), P/X Welcomed, £350"
500,"CROSSOVER BLACK, Tax Band C, ONLY £30 For 12 Months, Qualifies for Warranty 4 Life, Dualdrive PAS, MP3 compatible radio/single CD player. 4 seats, £4,500"
golf,"BLACK, 5 seats, More Clearance Cars In Stock Including Golf's.  Starts & Go's, Any Inspection Welcome. More Clearance Cars In Stock. NO MOT (Expired 19/04/2015) Hence Price., £495 p/x to clear"
fiesta,"GREEN, Next MOT due 30/09/2015, Sunroof Manual, In Car Entertainment. 5 seats, OPEN 7 DAYS A WEEK! MORE VEHICLES AVAILABLE @ BARGAIN PRICES, £250"
500,"One lady owner from new, good condition, most of mileage done on motorway, good tyres, 11 months MOT, BLUE, 1 owner, Part service history, 4 seats, £3,450"
focus,"BLACK, MOT TILL SEPTEMBER 2015, SERVICE HISTORY UP TO 103,000 MILES, THE CAR WILL NEED A BACK BOX HENCE THE PRICE OTHER THEN TAHT THE CAR DRIVES REALLY GOOD, Air-Conditioning, Alloy Wheels, Computer, Electric Windows, Heated Front Screen, In Car Entertainment, Seats Electric, Airbags, CD Player, Central locking, Electric door mirrors, Folding rear seats, Height adjustable drivers seat, Immobiliser, Power steering, Traction control. 5 seats, £395 p/x to clear"
corsa,"BLUE, Next MOT due 25/07/2015, Service history, Average bodywork, Interior - Average Condition, Electric Windows, In Car Entertainment, Folding rear seats, Power steering, Airbags. 5 seats, PLEASE NOTE THAT THIS IS A PX VEHICLE TO CLEAR .THE REAR BOOT DO NOT OPEN WITH KEYS SO WILL NEED LOOKING AT BUT CAR DRIVES VERY WELL FOR THE MILEAGE SO SOLD AS SPARES OR REPAIR, open 7 days px & finance available, £445"
golf,"VW Golf - car has low oil pressure and possible oil pump required. Ideal for mechanic or somebody with the expertise to replace and fix up. Car has had a new cambelt, water pump, new brakes (both discs and pads), oil filter and oil sensor., RED, 3 owners, Next MOT due 01/02/2016, Part service history, Electric sunroof, Electric windows, CD player, Height adjustable driver's seat, Folding rear seats, Spare wheel (Full), Power steering, Central locking, Alarm, Immobiliser, Driver's airbags, Side airbags, Passenger airbags. 5 seats, £500"
astra,"RED, No Warranty Supplied, MOT to 1/9/15. This vehicle is part exchange to clear. No warranty supplied. We do not check these cars. Sold as seen. We cannot supply finance on this vehicle. We can arrange FREE delivery within 5 miles of our showroom. Please phone us on 01223 874 400 to ensure the car is still in stock before you come down. Located at our Foxton showroom: 27 Royston Road, Foxton, Cambridgeshire, CB22 6SE REF:VSEV, All Finance Applications Accepted, £290"
focus,"BLACK, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, £350"
corsa,"GREEN, Corsa 1.0 Club 12V Club, Next MOT due 21/04/2016, Sunroof Manual, In Car Entertainment, Alloy wheels, Airbags, 3x3 point rear seat belts, Central locking, Sunroof, Power steering, Immobiliser, Alarm. Fantastic family car,drives spot on,Low bracket Tax and insurance!, £495 p/x to clear"
500,"Black, HPI CLEAR 1 OWNER FROM NEW WITH SERVICE HISTORY FULL 12 MONTHS MOT FOUR BRAND NEW TYRES BEAUTIFUL ENGINE GEARBOX AND CLUTCH START AND DRIVE LIKE IT SHOULD DO, Next MOT due 14/05/2016, Power steering, Electric Windows, Electric door mirrors, Air conditioning, Airbags, CD Player, Alarm, Immobiliser, Radio, Remote central locking, Sports seats, Alloy wheels, Leather seats, Folding rear seats, Height adjustable drivers seat, Traction control, usb and aux ipot and iPhone. 4 seats, Beautiful looking little sports car very cheap to insure and drive £ 30 ROAD TAX A YEAR ANY INSPECTION AND TEST DRIVE WELCOME PART EX WELCOME, £3,950"
fiesta,"BLUE, Alloy Wheels, In Car Entertainment. 5 seats, £290"
fiesta,"RED, 6 SERVICE STAMPS, Next MOT due 17/10/2015, Service history, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, BUY NOW OR MAKE AN OFFER Many more cars available visit our website www.thenwca.co.uk or telephone 0161 402 0201, WE ARE A CAR AUCTION BASED AT PLOT 0, JAMES NAYSMYTH WAY, ECCLES, MANCHESTER M30 0SF ALL AUCTION TERMS AND CONDITIONS APPLY. WE HAVE THE OPTION FOR 5 DAY DRIVE AWAY COVER, MOST TYPES OF PAYMENTS ACCEPTED.  WANT TO SELL YOUR CAR NO WIN NO FEE WHY NOT GIVE US A TRY., £300"
corsa,"SILVER, ++ SHORT MOT ++ TATTY  AND HAS A MISFIRE ++, Air-Conditioning, Sunroof Manual, In Car Entertainment. 5 seats, PART EXCHANGE TO CLEAR, PRICED TO SELL..., Open 7 days a week, Monday-Thursday 9 til 7, Friday 9 til 6, Saturday 9 til 5 and Sunday 11 til 4, £150 p/x considered"
polo,"SILVER, Sunroof Electric, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, £695"
500,"WHITE, GENUINE LOW MILES WITH FULL SERVICE HISTORY ONE OWNER 2 KEYS MP3 CD PLAYER AIR CON CITY STEERING 12 MONTHS MOT HPI CLEAR 30 TAX A YEAR, Electric Windows, In Car Entertainment. 4 seats, PX WELCOME WARRANTIES CREDIT DEBIT CARDS ACCEPTED 901 TYBURN RD BIRMINGHAM B24 9NY, £3,995"
polo,"GREEN, 1 Year New MOT , Quick Sale!!!  2 Previous Owner , 2 Keys .  Excellent Runner , Engine , Gear & Clutch Excellent , Nothing wrong with them ., Next MOT due 28/05/2016, In & Out Very Clean.......Smooth Driving.............Test Drive Welcome............First to See will Buy.... First come First Served.... Any Condition Car considered for Part Exchange ..... Reasonable Offer will be Considered.... The  Car Can be Delivered to your Door After purchasing . Location Barking, East London..Near ILFORD / Dagenham / Eastham. Nearest Station Barking or Upney Underground. Buses :- 5, 387, 62.., As Soon AS Dream!!! Hello , Drive!!!, Experian auto check clear, £550 p/x welcome"
500,"WHITE, A VERY CLEAN EXAMPLE WHICH LOOKS AND DRIVES EXCELLENT,PREVIOUSLY BEEN REPAIRED HENCE ON THE REGISTER ,FULLY BEEN CHECKED OVER BY OUR SERVICE CENTER,FIRST TO SEE WILL BUY,, Next MOT due 01/02/2016, Air-Conditioning, Electric Windows, In Car Entertainment, Power steering, Immobiliser, Remote central locking, CD Player, Alarm. 4 seats, COMES WITH A FULL PRE DELIVERY INSPECTION, PROFESSIONAL VALET, FREE FULL HPI REPORT AND FULL VOSA PRINTOUT,FULL SERVICE AVAILABLE, 5 DAYS DRIVE AWAY INSURANCE AVAILABLE,ROAD TAX AVAILABLE, PART EXCHANGE AVAILABLE....ANY TRIAL AND INSPECTION WELCOME..PLEASE CALL OUR SALES TEAM TO ARRANGE A TEST DRIVE....PLATINUM MOTOR COMPANY LTD...578 BRADFORD ROAD, BATLEY, WF17 8LP...OPEN 7 DAYS..ALL MAJOR CREDIT/DEBIT CARDS ACCEPTED www.platinummotorcompany.co.uk STOCK CLEARANCE SALE NOW ON !!!, £3,880"
fiesta,"BLACK, DAMAGED DOWN N/S, 15"" 5 spoke alloy wheels, Electric front windows, Stereo radio/CD model 4500 RDS EON, Central locking, Tilt adjustable steering column, Immobiliser-Passive Anti-Theft System (PATS), Driver's seat height adjustment. TO VIEW OUR FURTHER 500 SIMILAR DAMAGED VEHICLES GO TO www.chaseautos.com, £395"
fiesta,"MOT due Jun-15.  Great cheap run about / first time buyer car, owned for three years with no problems and has done me proud. Lokking for quick sale., BLUE, CD player, Metallic paint, Alloy wheels, Spare wheel (Space-saver), Power steering, Central locking, Driver's airbags. 5 seats, £325"
fiesta,"Burgundy. Comes with service history log. February 2016 MOT. 2 Keys. Low mileage. Cloth interior. 5 seats. Ideal first car. Comes with original radio, which has been uninstalled. Old car so has scratches, dents and general wear and tear (most obvious ones shown in the photos). Lock on driver's side not working, so opens from passenger side. Must have a view and test drive before purchase! NO OVER THE PHONE NEGOTIATIONS/HAGGLING, SEE FOR YOURSELF., BURGUNDY, 5+ owners, Next MOT due 09/02/2016, Full service history, Manual sunroof, Electric windows, Air conditioning, CD player, Heated seats, Height adjustable driver's seat, Folding rear seats, Metallic paint, Spare wheel (Full), Power steering, Traction control, Roof rails, Central locking, Alarm, Immobiliser, Driver's airbags. 5 seats, £320"
focus,"GREEN, Next MOT due 31/03/2016, Air-Conditioning, Alloy Wheels, Computer, Electric Windows, Heated Front Screen, In Car Entertainment, Seats Electric, Air conditioning, CD Player. 5 seats, £398"
focus,"RED, Lovely focus with 12 months MOT until May 2016. Car drives fantastic and is very clean inside and out. Good engine size for insurance. Cheap to run tax insure., Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, First to see will buy. Ready to go. Located Bedford, Call anytime on 01234 322222 or 07779315239 part exchange welcome All offers considered HPI CLEAR, £495 ono"
focus,"Ford Focus -1.6 zetec, great runner starts first time every time. Never let me down,  advisory on last M.O.T Exhaust rusty and has minor leak., BLACK, Next MOT due 28/01/2016, Electric windows, Air conditioning, CD player, Folding rear seats, Power steering, Central locking, Immobiliser, Driver's airbags, Passenger airbags. 5 seats, £500"
focus,"SILVER, Electric windows, alloy wheels, ford radio, Short mot, needs a good valet and clutch starting to slip, engine and box ok, Air-Conditioning, Alloy Wheels, Electric Windows, Heated Front Screen, In Car Entertainment. 5 seats, Credit/Debit cards Welcome,Opening Hours Mon-Fri 9AM-6PM,Weekend Apppointments,Part Exchange Welcome, £300"
corsa,"SILVER, LIGHT FRONT DAMAGE, Electric Windows, In Car Entertainment. TO VIEW OUR FURTHER  500 SIMILAR DAMAGED VEHICLES GO TO www.chaseautos.com, £325"
focus,"BLUE, DRIVE AWAY INSURANCE AVAILABLE, OVER 500 CHEAP PX CARS IN STOCK FROM £299-£29,990, Air-Conditioning, Electric Windows, Heated Front Screen, In Car Entertainment, Seats Electric. L.S.C PX SITE - OLD LIVERPOOL RD WA5 1BU, 01925633701, WWW.TRADECENTREWARRINGTON.CO.UK, £490"
focus,"BLACK, Many more cars available visit our website www.stoodley.co.uk or telephone 0161 223 3882. Buy now or make an offer.  Many more cars not advertised available on site., Next MOT due 27/05/2015, Electric Windows, In Car Entertainment. 5 seats, AUCTION TERMS, CONDITIONS & AUCTION FEES APPLY.  ALL AVAILABLE ON BUY NOW OPTION, CALL 0161 223 3882, £425"
corsa,"BLUE, Sunroof Manual, Computer, In Car Entertainment. 5 seats, Here at MMC, All of our vehicles are sourced using our combined 30 year experience and all carry a standard 3 month warranty. Finance packages are available on most vehicles, You can inquire about any vehicle via Phone, email or you can come down no appointment necessary. Part exchange is available on any vehicle and we will beat any genuine quote from webuyanycar or similar cash for car scheme. Holding or viewing deposits can be left at anytime, Don't delay and call now to arrange your next car with us., £495 p/x welcome"
focus,"SILVER, Upgrades - 2 Keys, Metallic Paint, Next MOT due 01/12/2015, Average bodywork, Interior - Average Condition, Tyre condition Average, Standard Features - Air-Conditioning, Alloy Wheels, Computer, Electric Windows, Heated Front Screen, In Car Entertainment, Seats Electric. 5 seats, £444 p/x to clear"
astra,"Black metallic, Part exchange to clear with 3 former keepers, Sept 15 MOT & Partial Service History, HPI clear, VOSA MOT History check, Specification includes, Air-Conditioning, Electric Windows, Remote central locking, JVC Radio/CD with USB, Split folding rear seats. ***PLEASE NOTE this car is being sold as a TRADE SALE due to the engine electronics light on causing a loss of power plus O/S panels have touched in key scratches (see photo's)*** Partial service history plus lots of receipts, 9th Sept 2015 MOT. Other than the above the car drives well and everything is in working order. Full book pack with handbook, service booklet plus 1 remote key. Good tyres, fronts 5&2mm, rears 4&5mm.  All major credit and debit cards welcome, Viewings by prior arrangement, please call the mobile, £350 p/x to clear"
corsa,"RED, a nice clean example,good condition for year and a faultless drive, cheap little auto with just 67000 miles from new comes with full vosa milage check,ready to go, Next MOT due 22/01/2016, Sunroof Manual, Computer, In Car Entertainment. 5 seats, £525"
focus,"GOLD, Many more cars available visit our website www.stoodley.co.uk or telephone 0161 223 3882. Buy now or make an offer.  Many more cars not advertised available on site., Next MOT due 24/07/2015, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, AUCTION TERMS, CONDITIONS & AUCTION FEES APPLY.  ALL AVAILABLE ON BUY NOW OPTION, CALL 0161 223 3882, £440"
polo,"BLUE, In Car Entertainment. 3 DR GENUINE 81.000 MILES MOT HISTORY  POWER STEERING C/LOCKING  E/MIRRORS AIRBAGS CD/PLAYER  ORIGINAL CONDITION DRIVES SUPERB 12 MONTHS MOT (WARRANTED 81.000 MILES WITH MILEAGE CHECK AND PRINT OUT FROM VOSA) CHEAP TAX AND INSURANCE VW RELIABILITY  NOT TO BE MISSED AT, £695"
golf,"BLUE, ++ 1 MONTHS MOT ++ ONLY 3 PREVIOUS OWNERS ++, 5 seats, LOOKS AND DRIVES WELL FOR AGE, PRICED TO SELL..., Open 7 days a week, Monday-Thursday 9 til 7, Friday 9 til 6, Saturday 9 til 5 and Sunday 11 til 4, £290 p/x considered"
500,"RED, * SOLD AWAITING DEAL COMPLETION **FINANCE FOR EVERYONE**, **LOW RATES AVAILABLE**, **FULL SERVICE HISTORY**, **TWO FORMER KEEPERS**, Upgrades - **FREE 12 MONTHS AA ROADSIDE COVER**, Affordable Warranty Available From Only £49, Next MOT due 19/05/2016, Last serviced on 06/05/2015 at 59,000 miles, Full service history, Good bodywork, Interior - Good Condition, Standard Features - Electric Windows, Air conditioning, CD Player, Climate Control, Alloy wheels, Steering Controls, Leather Seats, Spare Key. 4 seats, CAREFULLY SELECTED BY A MEMBER OF OUR BUYING TEAM FOR GOOD ORIGINAL OVERALL CONDITION AND REPRESENTING SUPERB VALUE. Debit/Credit cards accepted. IF YOU NEED FINANCE TO HELP YOU PURCHASE THIS VEHICLE TALK TO US TODAY WE WILL GET YOU CAR FINANCE. We have many finance options available with ALL CREDIT HISTORIES CONSIDERED, our flat rates start at 3.99% (your APR will depend upon your individual circumstances), we always do our best to get you the lowest finance rate possible (car finance is not available to current bankrupt or subject of an IVA order) for more information on our finance options including our EXCLUSIVE NO CREDIT CHECKS option please see the finance tab on our website or call into our showroom. For your convenience we can also tax your vehicle for you on your behalf so its ready taxed for you, we charge cost of road tax + £25. We also supply VEHICLES TO CUSTOMERS ALL OVER THE UK, if you cannot visit then just ring us and we can sort your purchase out over the phone with UK delivery organised for just 99p a mile. More vehicles at www.buyfromusautopark.co.uk. The 5-45 CAR CENTRE at the purpose built buy from us AUTOPARK, St Johns Road, Meadowfield Industrial Estate, Meadowfield, Co Durham DH7 8XL., Our low prices are fixed by our pricing dept representing unbeatable value, hence No Offers, £4,495 p/x welcome"
polo,"GREEN, Kermit seeking new home.  PX to clear.  1 lady driver from new.  Long MOT.  Bargain car to clear.  Be quick.  I may hop off before you call!  I am very cheap!!!, Next MOT due 19/03/2016, Electric door mirrors, Folding rear seats, Driver Air bag. 5 seats, Ladies and gents, here's a PX to clear that we have with some affection named Kermit.  We have never seen such a green car!  However, the colour turns heads, and with a t-cut may even dazzle.   All joking aside, this is a PX to clear which has been in 1 ladies care since day 1.  The car has a long MOT without any advisories and it drives well.  Some bruises and battle scars, but in good overall shape and offering exceptional value for money.  An ideal learner of runabout.  This is as basic as motoring gets.  No PAS.  No central locking. NO Air con.  We are selling this car to clear and it sold as seen, so please don't call if you are expecting a retain car with warranty.  We have plenty of them, but not at this money.  Be quick this car is priced to sell.  No offers.  No PX .  ///  We are Shields Motor Company of Bracknell.  Over 20+ years experience selling affordable quality used cars.  Family business.  We care about our cars and our clients.  Open 7 days a week.  All viewings by appointment.  Payment by electronic transfer or cash.  We do not accept cards.  //// full details on our website /// www.shieldsmotorcompany.co.uk, £595 p/x to clear"
polo,"BLUE, Next MOT due 30/05/2015, Sunroof Electric, Alloy Wheels, Electric Windows, In Car Entertainment. 4 seats, ALL USUAL AUCTION TERMS AND CONDITIONS APPLY., POST CODE M26 2TA, FOR FULL STOCK LIST GO TO www.radcliffecarauctions.co.uk, SORRY WE CANNOT REPLY TO EMAILS., OUT OF HOURS MOBILE 07809387718., £390"
focus,"GREEN, JUST ARRIVED,HERE WE HAVE AN IDEAL CHEAP FOCUS ESTATE.ITS MOT TESTED UNTIL SEPTEMBER AND DRIVES WELL, Next MOT due 17/09/2015, Alloy Wheels, Airbags, CD Player, Folding rear seats, Immobiliser, Power steering, Height adjustable drivers seat, Radio. 5 seats, FOR MORE DETAILS PLEASE CALL WAYNE OR TONY ON 01253739250 OR 07747102590 PART EXCHANGE TO CLEAR, £450 p/x to clear"
500,"White, 2 owners, Body coloured bumpers, Curtain airbags, Remote central locking, Italian flag stripe with 500 on roof. 4 seats, £4,300"
golf,"RED, NEXT MOT DUE,21/07/2015.NEW TYERS,CLEAN ALLOYS.  DRIVES FANTASTIC,GOING FOR AFFORDABLE PRICE READY TO DRIVE ITAWAY SAME DAYS., Upgrades - Paint Black - Special (GTI/VR6 Only), Standard Features - 3x3 point rear seat belts, Alloy wheels, Alarm, Heated seats, Immobiliser, Radio, Power steering, Lumbar support, Sports seats, Remote central locking, CD Player. FULLY VALETED.MUST SEE NOT TO BE MISSED.small dent on the roof nothing major.. MORE BARGAIN CARS AT WWW,LSMOTORSMOTORS.CO.UK  OPEN 7 DAYS AT 105 WAREEN STERTT WF12 9AS, £500 p/x welcome"
corsa,"GREEN, Car starts and drives well,however 1 glow plug broken in cylinder head,tear in drivers seat, hence the price., Air Bag Driver, Central Door Locking, Deadlocks, Electric Windows, Head Restraints, Immobiliser, In Car Entertainment, Mirrors External, Mirrors Internal, Power Socket, Power-Assisted Steering, Seat Height Adjustment, Spare Wheel, Speakers, Steering Wheel Mounted Controls, Upholstery Cloth. £499"
astra,"Metallic GREEN, PART EXCHANGE TO CLEAR,LOOKS AND DRIVES VERY WELL, MUST BE SEEN.., Next MOT due 01/12/2015, Electric Windows, Airbags, Power steering, Central locking. 5 seats, PLATINUM MOTOR COMPANY LTD...578 BRADFORD ROAD, BATLEY, WF17 8LP...OPEN 7 DAYS..ALL MAJOR CREDIT/DEBIT CARDS ACCEPTED www.platinummotorcompany.co.uk STOCK CLEARANCE SALE NOW ON !!!, £199"
focus,"Metallic GREEN, 6 MONTHS MOT+FREE 12 MONTHS AA BREAKDOWN COVER+FULL VOSA HISTORY, Next MOT due 01/11/2015, Average bodywork, Grey Cloth interior - Average Condition, Tyre condition Average, Electric Windows, Air conditioning, Airbags, CD Player, Central locking, Electric door mirrors, Electric windows, Folding rear seats, Power steering, Radio, Remote central locking, Height adjustable drivers seat, Alloy wheels. 5 seats, WE ACCEPT ALL MAJOR CREDIT/DEBIT CARDS, LOW RATE FINANCE AVAILABLE  CALL ON 07960 333444 OR 0161 888 2144 OR VISIT www.delightukcars.co.uk, £490"
polo,"In good condition, cheap to insure and reliable. Selling to get a car with a larger boot for toddler luggage. MOT just done, 4 good tyres and an unused space saver.  Please call for more details., SILVER, Electric windows, Air conditioning, Metallic paint, Spare wheel (Space-saver), Power steering, Central locking. 4 seats, £725"
corsa,"Good condition inside and out, for spares or repair due to engine issue, 2 owners, Part service history, Next MOT due on 12/10/2015, BLUE, 5 seats, £300"
focus,"For repair or spare parts. Offers welcome., Requires towing/pickup. Clutch is completely gone. Car won't start (suspect that's the battery). CD player doesn't work any more. Odd wing mirrors. Rear windscreen washer not working. A few scratches and a couple of dents (pictured)., BLUE, Next MOT due 30/10/2015, Part service history, 5 seats, £150"
polo,"RED, Good Drive, 2 Former Keepers, 12 months MOT, Last serviced on 25/07/2014 at 120,000 miles, Full dealership history, Good bodywork, Interior - Excellent Condition, Tyre condition Good, Electric windows, CD Player, Power steering. 5 seats, First to see will Buy, Part Exchange possible. HPI Clear., £445"
golf,"SILVER, O/S FRONT DAMAGE, Sunroof Electric, Electric Windows, In Car Entertainment. 5 seats, TO VIEW OUR FURTHER 500 SIMILAR DAMAGED VEHICLES GO TO www.chaseautos.com, £375"
